,STATE,Mamdani number of donations,AAdams number of donations,Lander number of donations,Cuomo number of donations
0,AK,1.0,0.0,2.0,0.0
1,AL,6.0,0.0,0.0,3.0
2,AR,7.0,0.0,0.0,2.0
3,AZ,28.0,0.0,8.0,4.0
4,CA,638.0,3.0,78.0,39.0
5,CO,70.0,1.0,40.0,4.0
6,CT,110.0,9.0,34.0,62.0
7,DC,157.0,3.0,46.0,17.0
8,DE,9.0,0.0,0.0,1.0
9,FL,143.0,6.0,36.0,53.0
10,GA,70.0,9.0,6.0,8.0
11,HI,10.0,0.0,0.0,2.0
12,IA,13.0,0.0,0.0,0.0
13,ID,3.0,0.0,0.0,2.0
14,IL,182.0,1.0,33.0,9.0
15,IN,37.0,0.0,3.0,0.0
16,KS,15.0,0.0,13.0,2.0
17,KY,7.0,0.0,1.0,0.0
18,LA,14.0,0.0,1.0,0.0
19,MA,299.0,1.0,41.0,30.0
20,MD,129.0,7.0,58.0,11.0
21,ME,30.0,0.0,2.0,3.0
22,MI,115.0,1.0,2.0,2.0
23,MN,64.0,1.0,4.0,1.0
24,MO,29.0,0.0,70.0,2.0
25,MS,3.0,0.0,0.0,0.0
26,MT,7.0,0.0,0.0,1.0
27,NC,54.0,1.0,14.0,6.0
28,ND,2.0,0.0,0.0,0.0
29,NE,8.0,0.0,3.0,3.0
30,NH,20.0,0.0,6.0,0.0
31,NJ,365.0,10.0,89.0,96.0
32,NM,24.0,0.0,10.0,1.0
33,NV,24.0,0.0,8.0,6.0
34,OH,80.0,0.0,9.0,10.0
35,OK,7.0,1.0,1.0,1.0
36,OR,70.0,0.0,9.0,2.0
37,PA,321.0,4.0,30.0,20.0
38,PR,0.0,0.0,0.0,1.0
39,RI,29.0,1.0,1.0,0.0
40,SC,9.0,2.0,1.0,2.0
41,SD,3.0,0.0,3.0,0.0
42,TN,26.0,0.0,1.0,3.0
43,TX,152.0,4.0,5.0,16.0
44,UT,12.0,0.0,0.0,1.0
45,VA,113.0,0.0,13.0,14.0
46,VT,39.0,0.0,8.0,2.0
47,WA,118.0,0.0,18.0,2.0
48,WI,58.0,1.0,4.0,0.0
49,WV,6.0,0.0,0.0,0.0
50,WY,1.0,0.0,0.0,0.0
