,STATE,AMNT,Mamdani number of donations
0,AK,25.0,1
1,AL,140.0,6
2,AR,118.0,7
3,AZ,2125.5,28
4,CA,42528.49,638
5,CO,3707.5,70
6,CT,6744.0,110
7,DC,6569.5,157
8,DE,350.0,9
9,FL,10037.5,143
10,GA,2435.5,70
11,HI,155.0,10
12,IA,332.0,13
13,ID,106.0,3
14,IL,7951.0,182
15,IN,2018.0,37
16,KS,333.5,15
17,KY,185.0,7
18,LA,616.0,14
19,MA,17422.67,299
20,MD,4925.7,129
21,ME,1193.0,30
22,MI,4596.0,115
23,MN,2429.5,64
24,MO,940.0,29
25,MS,70.0,3
26,MT,400.0,7
27,NC,1579.5,54
28,ND,50.0,2
29,NE,177.0,8
30,NH,789.5,20
31,NJ,18030.79,365
32,NM,882.0,24
33,NV,955.9,24
34,OH,3085.0,80
35,OK,232.0,7
36,OR,1850.7,70
37,PA,22586.5,321
38,RI,1194.08,29
39,SC,380.0,9
40,SD,165.0,3
41,TN,835.0,26
42,TX,6939.2,152
43,UT,721.0,12
44,VA,4177.4,113
45,VT,1907.5,39
46,WA,6142.2,118
47,WI,1892.2,58
48,WV,230.0,6
49,WY,100.0,1
